Sound_Engine,Sound_Operator,Emissions_Engine,Emissions_Operator,Temp_Engine,Temp_Exhaust,RPM
11,55.93,99.86,3.32,2.1,123.11,313.16,5520
12,69.76,52.05,3.23,2.02,161.34,145.19,1027
13,113.69,40.47,2.26,2.78,73.04,473.63,7047
14,72.96,103.61,1.1,3.17,117.88,198.45,6145
15,80.85,80.08,0.16,3.45,90.42,358.09,2255
16,66.98,52.81,2.65,2.09,91.48,473.25,1601
17,56.55,41.02,0.12,0.56,143.43,323.19,3867
18,80.67,105.79,3.74,0.29,181.61,219.31,6503
19,64.04,104.03,4.03,2.12,155.69,522.42,3220
20,113.56,43.98,3.12,3.79,192.07,438.44,2852
21,87.26,87.91,4.89,2.45,78.57,185.11,1676
